"","schid","c0110","c0112","c0114","c0116","c0120","c0122","c0134","c0136","c0138","c0140","c0142","c0144","c0146","c0150","c0158","c0162","c0166","c0170","c0174","c0176","c0186","c0190","c0192","c0196","c0198","c0204","c0206","c0208","c0210","c0212","c0214","c0216","c0218","c0266","c0268","c0270","c0272","c0274","c0276","c0280","c0282","c0284","c0286","c0288","c0290","c0292","c0294","c0296","c0298","c0300","c0302","c0304","c0374","c0376","c0378","c0380","c0382","c0384","c0386","c0402","c0404","c0406","c0408","c0410","c0412","c0422","c0424","c0426","c0428","c0430","c0432","c0434","c0436","c0442","c0444","c0446","c0448","c0450","c0452","c0454","c0456","c0532","c0534","c0536","c0538","c0560","c0562","c0568","c0570","c0572","c0578","c0578_yy","strata","fr_urban","fr_size","finalwgt","ic0110","ic0112","ic0114","ic0116","ic0120","ic0122","ic0134","ic0136","ic0138","ic0140","ic0142","ic0144","ic0146","ic0150","ic0158","ic0162","ic0166","ic0170","ic0174","ic0176","ic0186","ic0190","ic0192","ic0196","ic0198","ic0204","ic0206","ic0208","ic0210","ic0212","ic0214","ic0216","ic0218","ic0266","ic0268","ic0270","ic0272","ic0274","ic0276","ic0280","ic0282","ic0284","ic0286","ic0288","ic0290","ic0292","ic0294","ic0296","ic0298","ic0300","ic0302","ic0304","ic0374","ic0376","ic0378","ic0380","ic0382","ic0384","ic0386","ic0402","ic0404","ic0406","ic0408","ic0410","ic0412","ic0422","ic0424","ic0426","ic0428","ic0430","ic0432","ic0434","ic0436","ic0442","ic0444","ic0446","ic0448","ic0450","ic0452","ic0454","ic0456","ic0532","ic0534","ic0536","ic0538","ic0560","ic0562","ic0568","ic0570","ic0572"
"11",18,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,3,3,1,1,1,4,3,3,2,2,4,5,2,-1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,2,-1,28,85,92,8,4,3,93,220,244,"03272018",2018,341,"City","1,000 or more",10.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",20,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,3,3,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,2,3,2,2,2,2,4,4,4,4,4,4,5,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,2,-1,40,50,30,4,3,3,98,39,37,"02222018",2018,134,"Rural","500 - 999",71.4631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,7,7
"13",22,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,3,4,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,3,2,2,3,3,2,2,3,3,3,3,4,4,4,4,5,5,5,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,2,-1,35,35,50,2,3,3,95,23,11,"04022018",2018,134,"Rural","500 - 999",62.7552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",23,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,2,3,2,3,2,2,2,2,1,1,1,5,4,5,4,4,3,5,2,-1,1,1,2,-1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,-1,25,50,20,1,3,3,5,15,15,"05152018",2018,123,"Town","300 - 499",69.9745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",24,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,3,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,2,2,3,5,1,2,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,65,25,25,6,1,1,90,75,75,"03112018",2018,232,"Suburb","500 - 999",17.4616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",26,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,3,3,3,2,2,3,3,3,3,3,4,4,4,3,5,4,5,2,-1,1,1,2,-1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,20,60,60,6,2,2,91,24,32,"03142018",2018,223,"Town","300 - 499",25.5701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",28,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,4,3,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,3,2,2,3,3,2,1,2,2,2,2,5,3,5,4,3,3,5,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,1,1,1,1,1,1,2,-1,25,65,95,9,2,2,95,1,17,"03012018",2018,242,"Suburb","1,000 or more",11.3534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"18",29,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,3,1,1,2,3,2,2,3,4,2,4,4,4,4,4,1,2,2,-1,1,1,1,1,1,1,2,-1,1,1,1,2,1,1,1,1,2,-1,10,85,85,5,3,3,95,55,40,"02252018",2018,342,"Suburb","1,000 or more",8.0931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",30,1,1,1,2,2,1,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,4,4,2,2,2,2,2,2,1,2,1,1,1,1,2,2,3,2,2,2,2,3,3,2,2,3,3,3,3,4,4,4,5,5,5,5,1,2,1,1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,5,60,75,3,4,3,96,20,10,"03052018",2018,131,"City","500 - 999",53.6788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",31,1,1,1,2,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,4,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,2,3,3,3,3,1,3,3,3,3,3,5,5,5,5,5,5,5,2,-1,1,1,1,2,1,2,1,2,1,2,2,-1,2,-1,2,-1,1,1,2,-1,1,10,75,6,3,3,98,5,4,"04012018",2018,214,"Rural","Less than 300",24.8751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",32,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,2,2,1,2,2,2,2,1,1,1,1,2,1,3,1,3,3,3,3,3,3,3,3,1,1,1,3,2,5,4,4,2,5,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,2,1,1,1,1,1,1,2,-1,10,50,60,10,2,2,97,0,2,"02252018",2018,122,"Suburb","300 - 499",60.0561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",36,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,4,4,2,2,2,1,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,5,5,5,5,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,-1,1,1,2,-1,10,90,90,8,3,2,95,9,55,"04302018",2018,121,"City","300 - 499",64.2303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7,0,7,7,7,7,7,7,7,7,7
"23",37,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,4,4,1,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,2,-1,1,2,1,2,1,1,2,-1,2,-1,1,1,2,-1,1,1,2,-1,1,1,5,75,95,7,3,3,97,5,8,"03302018",2018,224,"Rural","300 - 499",14.1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",38,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,4,3,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,3,3,4,3,4,4,5,4,4,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,10,45,80,5,4,3,95,52,63,"03042018",2018,232,"Suburb","500 - 999",17.4616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",39,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,3,4,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,2,3,3,3,3,1,2,2,2,2,2,3,2,3,4,4,4,5,2,-1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,2,15,45,40,7,3,3,92,25,25,"03262018",2018,332,"Suburb","500 - 999",15.3735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",41,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,3,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,3,2,2,3,1,1,3,1,3,3,4,4,4,4,4,4,5,2,-1,2,-1,1,1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,10,40,60,9,3,3,94,70,55,"06012018",2018,243,"Town","1,000 or more",6.7087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",42,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,2,1,2,1,1,1,2,2,3,4,1,1,2,1,1,2,2,2,2,1,1,1,2,1,3,1,3,3,3,3,3,1,2,3,2,2,2,4,4,4,3,4,2,5,1,2,1,1,1,1,1,1,2,-1,2,-1,1,2,1,2,1,2,1,1,2,-1,5,60,60,8,3,3,93,4,1,"02262018",2018,314,"Rural","Less than 300",21.8867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",45,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,3,2,3,2,2,3,2,3,2,2,2,4,4,4,4,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,60,80,8,3,3,95,57,23,"05232018",2018,342,"Suburb","1,000 or more",8.0931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",46,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,4,5,5,2,-1,1,1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,14,50,50,8,3,3,91,32,34,"04042018",2018,213,"Town","Less than 300",26.5855,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"30",48,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,5,4,5,4,4,5,5,2,-1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,2,-1,2,-1,2,50,50,6,3,3,94,82,101,"04272018",2018,132,"Suburb","500 - 999",47.2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",51,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,2,1,1,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,4,5,2,-1,2,-1,1,1,1,1,1,2,2,-1,1,2,2,-1,1,1,1,1,2,-1,5,90,99,6,3,3,98,5,4,"03292018",2018,242,"Suburb","1,000 or more",9.4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
