"","schid","c0110","c0112","c0114","c0116","c0120","c0121","c0122","c0125","c0129","c0134","c0136","c0138","c0140","c0139","c0141","c0143","c0142","c0144","c0146","c0150","c0153","c0155","c0158","c0162","c0166","c0170","c0169","c0161","c0157","c0163","c0165","c0167","c0174","c0183","c0176","c0181","c0175","c0177","c0179","c0186","c0600","c0602","c0604","c0606","c0608","c0190","c0192","c0196","c0198","c0204","c0206","c0208","c0210","c0212","c0214","c0216","c0218","c0610","c0612","c0614","c0616","c0618","c0621","c0622","c0624","c0626","c0628","c0630","c0632","c0636","c0638","c0640","c0642","c0644","c0646","c0648","c0650","c0652","c0654","c0656","c0658","c0660","c0661","c0663","c0665","c0667","c0669","c0671","c0674","c0676","c0678","c0681","c0682","c0684","c0686","c0266","c0268","c0265","c0267","c0269","c0270","c0272","c0278","c0271","c0273","c0274","c0276","c0277","c0279","c0280","c0282","c0284","c0286","c0288","c0290","c0292","c0294","c0296","c0298","c0300","c0302","c0304","c0705","c0688","c0374","c0376","c0378","c0381","c0383","c0385","c0387","c0382","c0380","c0384","c0386","c0389","c0391","c0393","c0402","c0404","c0406","c0408","c0410","c0412","c0422","c0424","c0426","c0428","c0430","c0432","c0434","c0436","c0442","c0444","c0446","c0448","c0450","c0452","c0454","c0456","c0532","c0534","c0536","c0538","c0560","c0562","c0568","c0570","c0572","c0578","c0578_dd","c0578_mm","year","c0578_source","c0580","strata","crisis","disalc","disdrug","disfire","disweap","incid","incpol","nonvioinc","nonviopol","othact","outsus","probwk","sec_ft","sec_pt","stuoff","svinc","svpol","vioinc","viopol","fr_urban","fr_lvel","fr_size","finalwgt","repfwt1","repfwt2","repfwt3","repfwt4","repfwt5","repfwt6","repfwt7","repfwt8","repfwt9","repfwt10","repfwt11","repfwt12","repfwt13","repfwt14","repfwt15","repfwt16","repfwt17","repfwt18","repfwt19","repfwt20","repfwt21","repfwt22","repfwt23","repfwt24","repfwt25","repfwt26","repfwt27","repfwt28","repfwt29","repfwt30","repfwt31","repfwt32","repfwt33","repfwt34","repfwt35","repfwt36","repfwt37","repfwt38","repfwt39","repfwt40","repfwt41","repfwt42","repfwt43","repfwt44","repfwt45","repfwt46","repfwt47","repfwt48","repfwt49","repfwt50","ic0110","ic0112","ic0114","ic0116","ic0120","ic0121","ic0122","ic0125","ic0129","ic0134","ic0136","ic0138","ic0140","ic0139","ic0141","ic0143","ic0142","ic0144","ic0146","ic0150","ic0153","ic0155","ic0158","ic0162","ic0166","ic0170","ic0169","ic0161","ic0157","ic0163","ic0165","ic0167","ic0174","ic0183","ic0176","ic0181","ic0175","ic0177","ic0179","ic0186","ic0600","ic0602","ic0604","ic0606","ic0608","ic0190","ic0192","ic0196","ic0198","ic0204","ic0206","ic0208","ic0210","ic0212","ic0214","ic0216","ic0218","ic0610","ic0612","ic0614","ic0616","ic0618","ic0621","ic0622","ic0624","ic0626","ic0628","ic0630","ic0632","ic0636","ic0638","ic0640","ic0642","ic0644","ic0646","ic0648","ic0650","ic0652","ic0654","ic0656","ic0658","ic0660","ic0661","ic0663","ic0665","ic0667","ic0669","ic0671","ic0674","ic0676","ic0678","ic0681","ic0682","ic0684","ic0686","ic0266","ic0268","ic0265","ic0267","ic0269","ic0270","ic0272","ic0278","ic0271","ic0273","ic0274","ic0276","ic0277","ic0279","ic0280","ic0282","ic0284","ic0286","ic0288","ic0290","ic0292","ic0294","ic0296","ic0298","ic0300","ic0302","ic0304","ic0705","ic0688","ic0374","ic0376","ic0378","ic0381","ic0383","ic0385","ic0387","ic0382","ic0380","ic0384","ic0386","ic0389","ic0391","ic0393","ic0402","ic0404","ic0406","ic0408","ic0410","ic0412","ic0422","ic0424","ic0426","ic0428","ic0430","ic0432","ic0434","ic0436","ic0442","ic0444","ic0446","ic0448","ic0450","ic0452","ic0454","ic0456","ic0532","ic0534","ic0536","ic0538","ic0560","ic0562","ic0568","ic0570","ic0572","ic0578","ic0580"
"734",2175,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,-1,2,2,2,1,2,3,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,2,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,1,2,2,2,3,3,2,1,1,1,2,1,2,1,2,2,2,1,2,2,3,3,3,3,3,3,3,2,2,3,1,2,2,2,1,4,4,4,4,5,5,5,5,5,4,4,4,4,4,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,15,25,60,6,3,3,95,12,39,"04232018",23,4,2018,0,25,233,8,-1,3,-1,3,27,4,15,3,5,3,0,0,1,11,1,1,12,1,3," 2",3,12.7847,12.8765,13.1306,13.218,13.0788,13.2825,13.3607,13.3031,12.8806,0,12.9093,13.135,13.2656,13.2212,13.1517,13.2366,13.2022,13.0538,13.3737,13.1073,13.3252,13.0896,13.1271,12.9204,12.8971,12.9398,12.8856,12.844,13.0482,12.8726,13.1179,12.9616,12.8561,13.0062,12.6647,12.8743,13.1045,13.0446,12.7899,12.919,12.9764,12.7803,13.0585,12.7397,13.0875,13.0193,12.8756,13.0866,13.0701,13.1577,13.3541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"735",2220,1,1,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,-1,2,2,1,1,1,4,3,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,-1,-1,-1,-1,-1,1,1,2,1,1,2,2,1,2,3,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,1,2,3,3,3,3,2,2,5,3,4,5,5,5,5,3,4,3,4,3,3,3,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,2,1,2,1,2,12,50,70,5,3,3,94,18,81,"03292018",29,3,2018,2,45,334,8,-1,8,81,55,18,3,10,2,105,20,0,1,0,254,0,0,8,1,4," 3",3,14.4831,14.6882,14.7865,14.889,14.8847,15.0358,14.9019,14.9723,14.7069,14.8533,14.8196,15.1198,14.5606,14.9188,15.0532,14.5573,14.5401,0,14.5885,14.4395,14.5862,15.0114,14.7499,14.9293,14.4845,14.6786,14.77,14.5956,14.9887,14.742,14.7646,14.7167,15.0897,14.8921,14.5671,14.8584,14.8194,14.7945,14.6902,14.8191,14.5812,14.6944,14.6975,14.9411,14.9479,14.7077,14.725,14.84,14.692,14.6733,14.5659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"736",2526,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,-1,2,1,2,1,1,4,3,1,1,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,-1,1,2,1,2,1,1,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,2,-1,0,80,90,6,3,3,93,72,48,"04242018",24,4,2018,0,35,134,7,-1,-1,-1,-1,4,2,2,2,-1,-1,0,0,0,0,2,0,2,0,4," 1",3,62.7552,63.7702,64.541,63.7038,63.7319,64.2384,65.2514,63.3368,62.4995,64.3011,0,63.5574,62.0563,64.9391,64.9936,63.0372,63.7411,64.8912,65.4339,64.6028,65.6947,64.8367,64.8992,62.7526,62.7618,63.9095,64.5765,63.3296,63.7333,64.4622,64.2989,64.4035,63.6913,63.9097,62.8879,65.0348,64.5733,63.9511,65.6606,63.6537,64.5848,64.1842,64.519,65.3886,63.2645,62.5731,63.1774,64.7702,63.7302,63.3418,62.6793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"737",2483,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,-1,2,2,2,1,2,4,4,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,3,3,3,3,1,1,2,1,1,2,2,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,3,3,2,3,1,3,3,2,3,3,2,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,-1,2,-1,2,-1,1,1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,10,40,80,3,3,3,98,20,20,"05212018",21,5,2018,1,50,124,8,-1,-1,-1,-1,1,0,1,0,-1,-1,0,0,1,0,0,0,0,0,4," 1",2,74.8402,76.0744,75.3087,76.2643,75.9794,74.2846,76.4096,75.2102,75.6851,77.2237,0,76.4144,74.8683,77.1603,76.9343,75.1597,76.0493,75.4284,77.4172,76.9827,78.5191,77.0164,76.7358,76.3892,77.1693,76.2277,76.0092,76.6865,75.6471,77.5992,76.4004,75.8423,76.2409,77.0223,76.3461,76.804,76.9606,77.5892,77.0508,76.1533,76.8284,76.055,76.3449,78.0634,74.7251,76.2364,76.515,77.3692,76.6777,75.0364,75.2939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"738",4769,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,-1,-1,1,1,1,2,2,3,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,4,4,4,4,4,4,5,5,5,4,5,5,4,4,4,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,10,70,85,8,3,3,95,130,85,"05162018",16,5,2018,0,75,344,8,3,12,1,9,64,14,42,6,69,25,0,4,0,118,0,0,22,8,4," 3",4,7.1349,7.3498,7.3114,7.424,7.4019,7.3507,0,7.3416,7.2527,7.2885,7.31,7.2962,7.1514,7.3549,7.3699,7.115,7.1761,7.4243,7.3083,7.1461,7.1258,7.3843,7.3167,7.3998,7.0782,7.2866,7.1285,7.1494,7.2711,7.2233,7.2163,7.3084,7.2286,7.3019,7.275,7.193,7.4025,7.2493,7.2635,7.2724,7.1757,7.2976,7.3575,7.3096,7.3511,7.3129,7.2919,7.2651,7.279,7.2955,7.2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"739",4592,1,1,2,2,2,2,2,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,-1,2,1,2,2,1,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,3,3,3,2,2,3,2,1,1,1,2,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,-1,1,1,1,1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,0,30,45,6,3,3,98,13,13,"04102018",10,4,2018,2,30,234,8,1,-1,-1,-1,31,0,22,0,0,10,0,1,0,10,0,0,9,0,4," 2",3,13.6362,13.7994,13.9847,14.141,13.913,14.0987,13.9078,13.7613,13.7994,13.8203,13.955,13.902,13.6321,13.9782,13.9983,13.652,13.9924,14.009,13.8576,14.0016,13.8398,14.1015,13.8105,13.8488,13.716,13.6949,13.9587,13.684,0,13.96,14.1161,13.9974,13.848,14.0207,14.0505,14.1448,14.11,13.9346,13.9983,13.9653,13.8105,13.9374,13.8994,13.9495,14.077,13.845,13.8318,13.995,13.8542,13.797,13.7004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"740",1545,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,4,3,2,1,2,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,-1,-1,1,1,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,2,3,3,2,3,3,3,3,3,2,1,5,4,5,5,5,5,5,5,5,4,5,4,4,4,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,10,80,80,6,1,1,90,4,16,"04232018",23,4,2018,0,60,311,6,-1,-1,-1,-1,2,2,0,0,1,0,0,0,0,1,1,1,2,2,1," 3",1,27.4315,28.3707,28.5227,27.9299,27.2229,27.9704,0,27.7809,27.4493,27.8959,28.4159,27.5442,28.4909,27.6772,27.5824,27.713,28.3066,28.1928,27.7833,28.9359,28.1174,27.0273,27.8106,27.7117,27.4505,27.5641,28.5284,27.9769,27.7002,28.1694,28.5709,28.0448,27.6511,28.3243,27.7157,28.6419,27.7785,27.4647,28.2462,28.2075,28.5435,27.6647,27.5001,28.3021,28.5011,27.8495,28.1695,28.2636,28.2323,27.9833,28.4538,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"741",254,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,-1,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,3,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,3,2,3,3,3,3,3,3,3,2,4,4,3,4,5,5,5,4,4,3,4,4,3,3,3,2,-1,2,-1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,2,-1,25,50,50,8,1,2,91,124,124,"06012018",1,6,2018,0,52,221,7,-1,1,-1,1,143,27,10,2,122,0,0,2,0,124,0,0,133,25,1," 2",2,17.4204,18.1136,17.9502,17.8973,17.9124,17.3285,17.5509,17.2921,17.839,17.8843,17.7781,17.5818,17.9362,18.1539,17.7286,17.8446,17.5403,17.9156,17.9381,17.1192,17.4668,17.7758,17.9307,17.7062,17.9482,17.9386,17.9392,17.7194,17.635,18.1211,17.7061,17.6348,17.515,17.5419,17.9904,0,17.5522,17.9877,17.6717,18.0089,17.7311,17.5759,17.9733,18.3398,18.0252,17.9895,17.8409,17.3865,17.8698,17.6412,17.5771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"742",2438,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,-1,2,2,2,2,2,4,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,-1,-1,2,-1,-1,2,2,2,3,2,3,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,3,3,3,3,3,2,3,3,3,3,3,2,2,4,4,4,5,5,4,4,5,4,5,5,4,4,4,2,-1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,2,25,70,85,7,3,3,96,128,60,"03082018",8,3,2018,0,75,232,8,-1,3,-1,-1,28,8,6,5,24,12,0,1,0,38,2,2,22,3,2," 2",3,14.1561,14.4833,14.8498,14.5621,14.1622,0,14.6025,14.2812,14.3927,14.4368,14.5284,14.3677,14.2713,14.4054,14.1995,14.2414,14.7355,14.2107,14.4587,14.4194,14.3337,14.4853,14.0386,14.2953,14.9134,14.568,14.5072,14.2464,15.0115,14.3353,14.2844,14.6852,14.3946,14.3959,14.4362,14.3512,14.4782,14.2602,14.9528,14.2832,14.6807,14.3523,14.2231,14.2736,14.6894,14.7206,14.2811,14.2452,14.4083,14.5834,14.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"743",3531,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,2,1,1,1,3,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,-1,-1,1,1,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,2,2,2,3,3,1,2,3,2,2,2,2,1,4,3,5,5,5,5,5,4,4,3,5,3,4,4,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,30,50,20,3,1,1,90,263,131,"05072018",7,5,2018,2,60,131,7,-1,-1,-1,-1,17,1,1,1,12,1,0,1,0,13,0,0,16,0,1," 1",3,73.2763,0,76.1103,74.3222,74.4683,75.3057,74.8294,75.081,75.7045,75.0392,74.079,73.8306,76.3079,74.1495,73.7129,75.1761,75.6876,76.0613,75.5047,74.6285,74.6594,74.129,75.8715,74.2509,74.9068,76.2174,73.8566,73.7345,75.8778,76.9468,74.7267,74.5648,73.2314,73.2083,74.5822,75.0899,74.1131,75.1124,73.9429,75.1408,74.3573,74.3432,74.3305,76.5279,74.404,74.5251,73.9291,73.7703,73.4855,75.6783,73.9581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"744",2911,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,1,2,-1,2,2,2,1,1,2,3,1,2,2,1,2,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,3,3,3,3,2,2,3,2,3,3,2,1,5,4,5,5,5,5,5,5,5,5,5,4,4,4,2,-1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,2,1,2,1,1,2,-1,23,71,68,6,4,3,89,63,59,"05072018",7,5,2018,2,62,121,4,-1,-1,0,-1,3,1,1,1,24,0,0,0,0,25,0,0,2,0,1," 1",2,73.1167,75.5646,74.7695,74.7182,74.6751,74.2701,73.8274,74.3844,76.0931,75.458,73.4435,73.8141,75.5601,74.4193,73.8234,74.5636,74.5733,74.9859,74.6467,73.5269,74.3557,74.1383,74.8797,75.3487,75.5442,75.715,73.9431,73.2458,75.2186,0,74.5481,73.902,73.0972,73.4929,75.9654,74.7434,73.9154,75.8316,73.2229,75.6617,74.6172,74.2401,74.3729,76.8613,74.6517,74.6164,74.408,73.9214,73.9105,74.9971,73.0378,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
